timestamp,co_sensor_mg_m3,nox_sensor_ppb,no2_sensor_microg_m3,temperature_c,relative_humidity_percent,absolute_humidity_g_m3
2004-03-10 18:00:00,2.6,166.0,113.0,13.6,48.9,0.7578
2004-03-10 19:00:00,2.0,103.0,92.0,13.3,47.7,0.7255
2004-03-10 20:00:00,2.2,131.0,114.0,11.9,54.0,0.7502
2004-03-10 21:00:00,2.2,172.0,122.0,11.0,60.0,0.7867
2004-03-10 22:00:00,1.6,131.0,116.0,11.2,59.6,0.7888
2004-03-10 23:00:00,1.2,89.0,96.0,11.2,59.2,0.7848
2004-03-11 00:00:00,1.2,62.0,77.0,11.3,56.8,0.7603
2004-03-11 01:00:00,1.0,62.0,76.0,10.7,60.0,0.7702
2004-03-11 02:00:00,0.9,45.0,60.0,10.7,59.7,0.7648
2004-03-11 03:00:00,0.6,45.0,60.0,10.3,60.2,0.7517
2004-03-11 05:00:00,0.7,16.0,28.0,11.0,56.2,0.7366
2004-03-11 06:00:00,0.7,34.0,48.0,10.5,58.1,0.7353
2004-03-11 07:00:00,1.1,98.0,82.0,10.2,59.6,0.7417
2004-03-11 08:00:00,2.0,174.0,112.0,10.8,57.4,0.7408
2004-03-11 09:00:00,2.2,129.0,101.0,10.5,60.6,0.7691
2004-03-11 10:00:00,1.7,112.0,98.0,10.8,58.4,0.7552
2004-03-11 11:00:00,1.5,95.0,92.0,10.5,57.9,0.7352
2004-03-11 12:00:00,1.6,104.0,95.0,9.5,66.8,0.7951
2004-03-11 13:00:00,1.9,146.0,112.0,8.3,76.4,0.8393
2004-03-11 14:00:00,2.9,207.0,128.0,8.0,81.1,0.8736
2004-03-11 15:00:00,2.2,184.0,126.0,8.3,79.8,0.8778
2004-03-11 16:00:00,2.2,193.0,131.0,9.7,71.2,0.8569
2004-03-11 17:00:00,2.9,243.0,135.0,9.8,67.6,0.8185
2004-03-11 18:00:00,4.8,281.0,151.0,10.3,64.2,0.8065
2004-03-11 19:00:00,6.9,383.0,172.0,9.7,69.3,0.8319
2004-03-11 20:00:00,6.1,351.0,165.0,9.6,67.8,0.8133
2004-03-11 21:00:00,3.9,240.0,136.0,9.1,64.0,0.7419
2004-03-11 22:00:00,1.5,94.0,85.0,8.2,63.4,0.6905
2004-03-11 23:00:00,1.0,47.0,53.0,8.2,60.8,0.6657
2004-03-12 00:00:00,1.7,122.0,97.0,8.3,58.5,0.6438
2004-03-12 01:00:00,1.9,133.0,110.0,7.7,59.7,0.6308
2004-03-12 02:00:00,1.4,82.0,91.0,7.1,61.8,0.6276
2004-03-12 03:00:00,0.8,82.0,91.0,7.0,62.3,0.6261
2004-03-12 05:00:00,0.6,30.0,44.0,6.3,65.0,0.6233
2004-03-12 06:00:00,0.8,56.0,71.0,6.8,62.9,0.6234
2004-03-12 07:00:00,1.4,109.0,104.0,6.4,65.1,0.6316
2004-03-12 08:00:00,4.4,307.0,141.0,7.3,63.1,0.6499
2004-03-12 10:00:00,3.1,187.0,122.0,13.2,41.7,0.632
2004-03-12 11:00:00,2.7,216.0,143.0,14.3,38.4,0.6243
2004-03-12 12:00:00,2.1,143.0,113.0,15.0,36.5,0.6195
2004-03-12 13:00:00,2.5,160.0,116.0,16.1,34.5,0.6262
2004-03-12 14:00:00,2.7,163.0,123.0,16.3,35.7,0.656
2004-03-12 15:00:00,2.9,190.0,126.0,15.8,37.0,0.661
2004-03-12 16:00:00,2.8,178.0,120.0,15.9,37.2,0.6657
2004-03-12 17:00:00,2.4,150.0,119.0,16.9,34.3,0.6549
2004-03-12 18:00:00,3.9,206.0,149.0,15.1,39.6,0.6766
2004-03-12 19:00:00,3.7,202.0,145.0,14.4,43.4,0.7084
2004-03-12 20:00:00,6.6,340.0,170.0,12.9,50.5,0.7478
2004-03-12 21:00:00,4.4,274.0,149.0,12.1,53.3,0.7536
2004-03-12 22:00:00,3.5,253.0,139.0,11.0,59.1,0.774
2004-03-12 23:00:00,5.4,300.0,134.0,9.7,64.6,0.7771
2004-03-13 00:00:00,2.7,193.0,113.0,9.5,64.1,0.7597
2004-03-13 01:00:00,1.9,139.0,97.0,9.1,63.9,0.7423
2004-03-13 02:00:00,1.6,83.0,82.0,8.8,63.9,0.7256
2004-03-13 03:00:00,1.7,83.0,82.0,7.8,67.5,0.7173
2004-03-13 05:00:00,1.0,62.0,65.0,8.3,63.6,0.6982
2004-03-13 06:00:00,1.2,53.0,60.0,7.2,67.5,0.6887
2004-03-13 07:00:00,1.5,139.0,77.0,6.3,71.9,0.6932
2004-03-13 08:00:00,2.7,256.0,96.0,6.5,71.6,0.6945
2004-03-13 09:00:00,3.7,295.0,119.0,9.6,59.7,0.7124
2004-03-13 10:00:00,3.2,250.0,126.0,12.4,51.2,0.7335
2004-03-13 11:00:00,4.1,296.0,158.0,15.6,42.2,0.7451
2004-03-13 12:00:00,3.6,239.0,161.0,18.4,33.8,0.709
2004-03-13 13:00:00,2.8,153.0,124.0,19.4,31.3,0.695
2004-03-13 14:00:00,2.0,118.0,102.0,18.0,34.8,0.7127
2004-03-13 15:00:00,2.0,119.0,116.0,18.4,33.6,0.7042
2004-03-13 16:00:00,2.5,138.0,124.0,17.6,35.1,0.7012
2004-03-13 17:00:00,2.3,148.0,125.0,16.7,37.8,0.7117
2004-03-13 18:00:00,3.2,227.0,148.0,16.1,41.0,0.7451
2004-03-13 19:00:00,4.2,277.0,165.0,15.8,42.4,0.7569
2004-03-13 20:00:00,4.2,279.0,161.0,15.7,44.1,0.7786
2004-03-13 21:00:00,4.2,283.0,159.0,15.3,46.8,0.8091
2004-03-13 22:00:00,3.1,214.0,143.0,14.6,48.6,0.806
2004-03-13 23:00:00,2.6,172.0,130.0,14.7,49.3,0.8193
2004-03-14 00:00:00,2.9,190.0,129.0,13.9,53.6,0.8498
2004-03-14 01:00:00,2.8,174.0,119.0,14.6,51.5,0.8536
2004-03-14 02:00:00,2.5,128.0,104.0,12.5,58.9,0.8537
2004-03-14 03:00:00,2.4,128.0,104.0,11.6,63.4,0.8674
2004-03-14 05:00:00,1.2,53.0,70.0,11.5,63.1,0.8533
2004-03-14 06:00:00,1.0,44.0,63.0,11.6,62.2,0.8473
2004-03-14 07:00:00,0.9,74.0,67.0,10.4,67.6,0.853
2004-03-14 08:00:00,1.4,101.0,84.0,11.6,62.7,0.853
2004-03-14 09:00:00,1.6,118.0,83.0,12.4,60.0,0.8627
2004-03-14 10:00:00,2.2,144.0,98.0,14.5,53.1,0.8728
2004-03-14 11:00:00,2.8,176.0,114.0,16.9,46.1,0.8789
2004-03-14 12:00:00,2.8,161.0,119.0,19.3,38.3,0.8474
2004-03-14 13:00:00,2.0,113.0,104.0,21.2,31.4,0.7812
2004-03-14 14:00:00,1.8,103.0,102.0,21.4,30.2,0.7616
2004-03-14 15:00:00,1.9,112.0,107.0,21.9,29.0,0.7525
2004-03-14 16:00:00,3.0,170.0,129.0,22.2,28.4,0.7516
2004-03-14 17:00:00,2.9,180.0,128.0,21.3,30.8,0.7696
2004-03-14 18:00:00,2.5,160.0,121.0,19.7,36.7,0.8307
2004-03-14 19:00:00,4.6,261.0,157.0,18.4,41.7,0.8732
2004-03-14 20:00:00,5.9,325.0,173.0,17.6,46.1,0.921
2004-03-14 21:00:00,3.4,217.0,146.0,16.7,49.6,0.932
2004-03-14 22:00:00,2.1,146.0,121.0,16.3,51.0,0.9341
2004-03-14 23:00:00,2.2,152.0,119.0,14.7,55.9,0.9314
2004-03-15 00:00:00,1.8,104.0,99.0,14.8,54.7,0.9164
2004-03-15 01:00:00,1.8,106.0,93.0,14.0,57.0,0.9094
2004-03-15 02:00:00,1.8,108.0,88.0,13.4,61.3,0.9361
2004-03-15 03:00:00,1.1,108.0,88.0,12.6,63.5,0.923
2004-03-15 05:00:00,1.0,88.0,74.0,11.9,67.4,0.9375
2004-03-15 06:00:00,1.4,138.0,80.0,11.4,70.5,0.9475
2004-03-15 07:00:00,2.2,228.0,89.0,11.3,70.2,0.9401
2004-03-15 08:00:00,5.5,360.0,114.0,12.4,63.9,0.917
2004-03-15 09:00:00,8.1,478.0,149.0,14.8,54.3,0.9076
2004-03-15 10:00:00,5.8,394.0,157.0,17.4,45.6,0.8993
2004-03-15 11:00:00,4.2,319.0,155.0,19.8,38.5,0.8801
2004-03-15 12:00:00,3.1,201.0,134.0,22.0,34.1,0.8904
2004-03-15 13:00:00,2.9,171.0,119.0,23.3,32.2,0.9096
2004-03-15 14:00:00,2.9,159.0,111.0,23.9,30.0,0.8757
2004-03-15 15:00:00,2.5,153.0,104.0,24.4,28.9,0.8736
2004-03-15 16:00:00,2.3,143.0,99.0,24.4,29.4,0.8848
2004-03-15 17:00:00,2.8,156.0,110.0,23.8,31.3,0.9137
2004-03-15 18:00:00,6.1,314.0,162.0,22.5,35.4,0.9547
2004-03-15 19:00:00,8.0,404.0,187.0,20.4,42.5,1.0086
2004-03-15 20:00:00,6.5,320.0,165.0,18.3,52.6,1.0945
2004-03-15 21:00:00,4.2,256.0,145.0,16.7,57.4,1.0786
2004-03-15 22:00:00,3.2,193.0,125.0,15.7,60.2,1.0654
2004-03-15 23:00:00,1.4,89.0,101.0,15.3,61.4,1.058
2004-03-16 00:00:00,2.1,127.0,103.0,14.1,65.7,1.0494
2004-03-16 01:00:00,1.2,79.0,88.0,14.8,60.6,1.0148
2004-03-16 02:00:00,0.8,43.0,61.0,14.8,59.2,0.9879
2004-03-16 03:00:00,0.7,43.0,61.0,13.6,62.1,0.9636
2004-03-16 05:00:00,0.6,38.0,52.0,12.8,63.2,0.9283
2004-03-16 06:00:00,0.9,82.0,64.0,11.2,68.5,0.9081
2004-03-16 07:00:00,1.3,99.0,70.0,11.0,66.5,0.8705
2004-03-16 08:00:00,3.4,263.0,97.0,11.7,63.7,0.8719
2004-03-16 09:00:00,3.7,229.0,95.0,13.6,56.3,0.8743
2004-03-16 10:00:00,5.3,396.0,150.0,17.8,42.9,0.8672
2004-03-16 11:00:00,4.1,314.0,162.0,21.4,33.3,0.8417
2004-03-16 12:00:00,3.3,217.0,154.0,24.4,27.4,0.8231
2004-03-16 13:00:00,4.0,252.0,161.0,25.3,26.1,0.8264
2004-03-16 14:00:00,3.8,263.0,161.0,25.8,23.2,0.7589
2004-03-16 15:00:00,2.8,180.0,128.0,27.0,20.2,0.7094
2004-03-16 16:00:00,2.9,184.0,129.0,28.2,18.6,0.7014
2004-03-16 17:00:00,2.9,190.0,133.0,28.0,19.1,0.7098
2004-03-16 18:00:00,3.4,184.0,139.0,23.9,25.7,0.7519
2004-03-16 19:00:00,3.9,181.0,137.0,21.3,34.8,0.873
2004-03-16 20:00:00,3.2,166.0,143.0,20.4,36.7,0.8704
2004-03-16 21:00:00,5.1,317.0,177.0,19.0,41.3,0.9007
2004-03-16 22:00:00,2.6,184.0,138.0,17.9,45.9,0.9342
2004-03-16 23:00:00,1.7,130.0,117.0,16.7,48.9,0.9226
2004-03-17 00:00:00,1.7,132.0,107.0,15.5,52.9,0.9271
2004-03-17 01:00:00,1.2,95.0,90.0,15.5,51.9,0.9059
2004-03-17 02:00:00,0.9,70.0,79.0,14.1,55.6,0.891
2004-03-17 03:00:00,0.7,70.0,79.0,13.1,57.9,0.8666
2004-03-17 05:00:00,0.5,28.0,40.0,11.8,58.0,0.8026
2004-03-17 06:00:00,0.5,46.0,53.0,11.9,57.4,0.7978
2004-03-17 07:00:00,1.6,160.0,84.0,9.9,65.2,0.7956
2004-03-17 08:00:00,4.1,320.0,108.0,11.1,60.2,0.7958
2004-03-17 09:00:00,6.6,377.0,127.0,14.1,50.0,0.802
2004-03-17 10:00:00,4.3,280.0,134.0,17.7,40.1,0.8048
2004-03-17 11:00:00,2.9,221.0,135.0,21.1,33.4,0.8265
2004-03-17 12:00:00,2.5,210.0,142.0,24.3,28.3,0.8471
2004-03-17 13:00:00,2.8,204.0,153.0,25.6,25.6,0.8254
2004-03-17 14:00:00,2.6,161.0,123.0,25.9,25.9,0.8503
2004-03-17 15:00:00,2.0,135.0,104.0,26.8,18.7,0.65
2004-03-17 16:00:00,2.9,186.0,129.0,29.3,15.8,0.6309
2004-03-17 17:00:00,2.5,147.0,114.0,28.5,14.9,0.5708
2004-03-17 18:00:00,5.0,299.0,158.0,25.9,16.0,0.5237
2004-03-17 19:00:00,7.6,411.0,194.0,23.1,26.5,0.7403
2004-03-17 20:00:00,6.7,347.0,182.0,20.5,38.2,0.9133
2004-03-17 21:00:00,5.7,336.0,180.0,19.1,42.6,0.9294
2004-03-17 22:00:00,2.8,202.0,136.0,17.2,44.1,0.8558
